;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;userThroughputTotalStat;userThroughputTotalStat[0];userThroughputTotalStat[1];userThroughputTotalStat[2];userThroughputTotalStat[3];userThroughputTotalStat[4];userThroughputTotalStat[5];userThroughputTotalStat[6];userThroughputTotalStat[7];userThroughputTotalStat[8];userThroughputTotalStat[9];userThroughputTotalStatError[0];userThroughputTotalStatError[1];userThroughputTotalStatError[2];userThroughputTotalStatError[3];userThroughputTotalStatError[4];userThroughputTotalStatError[5];userThroughputTotalStatError[6];userThroughputTotalStatError[7];userThroughputTotalStatError[8];userThroughputTotalStatError[9]
0;1.0;-1.0;-1.0;-1.0;1.0;1.0;1.0;-1.0;1903.2943157894751;1895.5957894736803;1922.8263157894703;1894.78631578948;1905.5947368421098;1898.6694736842103;1911.58631578948;1893.2199999999998;1899.89789473684;1889.01684210527;1921.7494736842098;-7.698526315794879;19.53199999999515;-8.507999999995036;2.300421052634647;-4.624842105264861;8.292000000004919;-10.07431578947535;-3.3964210526351053;-14.277473684205233;18.45515789473461
1;1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;19015.52526315786;19029.1084210527;19053.927368421002;19031.034736842;18997.1863157894;18941.0842105264;19007.557894736703;19081.6052631579;19025.3926315789;18997.1747368422;18991.181052631404;13.583157894841861;38.40210526314331;15.509473684141994;-18.33894736845832;-74.44105263146048;-7.967368421155697;66.08000000004176;9.867368421040737;-18.3505263156585;-24.344210526454845
2;1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;1.0;1903.2804210526324;1911.58631578948;1894.7631578947403;1893.1747368420997;1921.70736842105;1899.89789473684;1922.8263157894703;1889.01684210527;1905.5947368421098;1895.5957894736803;1898.6410526315801;8.305894736847677;-8.517263157892103;-10.105684210532672;18.426947368417586;-3.3825263157923473;19.54589473683791;-14.263578947362475;2.314315789477405;-7.684631578952121;-4.639368421052268
3;1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;19015.43042105264;18991.521052631502;19007.3768421052;19024.9684210526;18941.004210526302;18996.7736842108;19054.249473684198;19029.3157894736;18996.798947368497;19081.287368421;19031.0084210527;-23.909368421136605;-8.053578947437927;9.537999999960448;-74.42621052633694;-18.65673684184003;38.819052631559316;13.88536842096073;-18.631473684141383;65.85694736836012;15.578000000059546
4;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;1899.6640736842114;1897.7118947368413;1898.70526315789;1902.0811578947375;1902.7044210526344;1901.188736842103;1900.8796842105305;1895.4611578947358;1901.1620000000028;1897.198421052639;1899.5479999999975;-1.9521789473701574;-0.9588105263214857;2.417084210526127;3.0403473684229994;1.5246631578916094;1.2156105263190966;-4.202915789475583;1.4979263157913465;-2.4656526315723113;-0.11607368421391584
5;1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;18874.12921052632;18887.965578947358;18900.12821052635;18845.4156842105;18882.44178947372;18890.86789473682;18870.901052631623;18877.772421052636;18832.97831578953;18858.773052631583;18894.048105263104;13.83636842103806;25.9990000000289;-28.713526315819763;8.312578947399743;16.73868421050065;-3.2281578946967784;3.64321052631567;-41.15089473679109;-15.356157894737407;19.91889473678384
6;1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1899.6358631578955;1902.0193684210524;1895.4673684210522;1900.8684210526355;1902.6890526315817;1898.6809473684189;1899.5276842105243;1901.1571578947362;1901.1048421052672;1897.66084210526;1897.182947368428;2.3835052631568487;-4.168494736843286;1.2325578947400118;3.0531894736861886;-0.9549157894766722;-0.10817894737124334;1.521294736840673;1.4689789473716246;-1.9750210526356113;-2.4529157894676246
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7064.845231578947;7062.851789473683;7058.268105263158;7060.4829473684185;7054.963894736848;7049.857894736842;7080.932842105264;7075.66547368421;7049.295368421053;7065.985052631581;7090.148947368421;-1.9934421052639664;-6.577126315789428;-4.362284210528742;-9.8813368420997;-14.987336842104924;16.087610526316894;10.820242105262878;-15.549863157893924;1.1398210526340335;25.303715789474154
Sum;71575.80479999998;-12099.256042105237;-11809.42092631575;56364.055452631546;-11809.203452631631;-12084.706442105231;-11809.336715789435;-11809.174821052675;;;;;;;;;;;;;;;;;;;;;
qi;8946.975599999998;-1512.4070052631546;-1476.1776157894687;7045.506931578943;-1476.1504315789539;-1510.5883052631539;-1476.1670894736794;-1476.1468526315844;;;;;;;;;;;;;;;;;;;;;
SSx;;182989995.9655251;174328028.26863045;3971133433.834155;174321607.73205853;182550162.23982456;174325542.0836155;174320762.4427306;35145.39768248534;;;;;;;;;;;;;;;;;;;;
Variation;;0.03635077988038883;0.03463008865123455;0.7888616892267375;0.034628813218059044;0.03626340735019913;0.03462959477306519;0.03462864530217855;6.98159813723064e-06;;;;;;;;;;;;;;;;;;;;
