;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;userThroughputTotalStat;userThroughputTotalStat[0];userThroughputTotalStat[1];userThroughputTotalStat[2];userThroughputTotalStat[3];userThroughputTotalStat[4];userThroughputTotalStat[5];userThroughputTotalStat[6];userThroughputTotalStat[7];userThroughputTotalStat[8];userThroughputTotalStat[9];userThroughputTotalStatError[0];userThroughputTotalStatError[1];userThroughputTotalStatError[2];userThroughputTotalStatError[3];userThroughputTotalStatError[4];userThroughputTotalStatError[5];userThroughputTotalStatError[6];userThroughputTotalStatError[7];userThroughputTotalStatError[8];userThroughputTotalStatError[9]
0;1.0;-1.0;-1.0;-1.0;1.0;1.0;1.0;-1.0;1903.2943157894747;1894.78631578948;1922.8263157894703;1911.58631578948;1893.2199999999998;1905.5947368421098;1921.7494736842098;1889.01684210527;1899.89789473684;1898.6694736842103;1895.5957894736803;-8.507999999994581;19.531999999995605;8.292000000005373;-10.074315789474895;2.3004210526351017;18.455157894735066;-14.277473684204779;-3.3964210526346506;-4.624842105264406;-7.698526315794425
1;1.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;19015.512421052594;19081.5442105263;19053.921052631504;19029.1084210527;18991.102105263002;19031.034736842;18941.0842105264;19007.557894736703;19025.2663157894;18997.1863157894;18997.318947368498;66.03178947370543;38.40863157890999;13.59600000010687;-24.41031578959155;15.522315789407003;-74.42821052619547;-7.954526315890689;9.753894736804796;-18.326105263193313;-18.193473684095807
2;1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;1.0;1903.273368421053;1911.58631578948;1905.5242105263198;1893.1747368420997;1895.5957894736803;1898.6410526315801;1899.89789473684;1889.01684210527;1921.70736842105;1922.8263157894703;1894.7631578947403;8.312947368427103;2.2508421052668837;-10.098631578953245;-7.6775789473726945;-4.632315789472841;-3.3754736842129205;-14.256526315783049;18.433999999997013;19.552947368417335;-8.510210526312676
3;1.0;-1.0;1.0;1.0;-1.0;-1.0;1.0;-1.0;19009.713578947365;19012.300000000003;18981.0663157895;19018.744210526198;18934.4168421053;19080.976842105396;19030.185263157902;19041.3484210525;19008.093684210402;18996.433684210602;18993.5705263158;2.5864210526378884;-28.647263157865382;9.030631578832981;-75.296736842065;71.2632631580309;20.471684210537205;31.63484210513343;-1.6198947369630332;-13.279894736762799;-16.143052631563478
4;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;1899.666473684211;1897.7118947368413;1902.0867368421052;1900.8841052631624;1895.4709473684204;1901.1851578947349;1899.5479999999975;1898.70526315789;1897.198421052639;1902.7122105263188;1901.1620000000028;-1.9545789473697823;2.420263157894169;1.217631578951341;-4.19552631579063;1.5186842105238156;-0.11847368421354076;-0.9612105263211106;-2.468052631571936;3.0457368421077717;1.4955263157917216
5;1.0;1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;6398.557252631578;6391.216526315789;6412.3767368421;6399.815789473682;6406.467157894734;6398.102842105258;6392.764105263153;6400.7714736842145;6387.24136842105;6403.001157894736;6393.815368421052;-7.340726315788743;13.819484210522205;1.2585368421041494;7.909905263155451;-0.4544105263203164;-5.793147368424798;2.214221052636276;-11.315884210528566;4.443905263157831;-4.741884210526223
6;1.0;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1891.2379578947366;1893.9195789473704;1892.526631578948;1888.779368421048;1886.3272631578948;1893.4407368421055;1890.5846315789477;1891.6295789473695;1893.3620000000017;1893.049894736843;1888.7598947368379;2.6816210526337727;1.2886736842112896;-2.458589473688562;-4.910694736841833;2.20277894736887;-0.6533263157889451;0.3916210526328996;2.1240421052650618;1.8119368421064337;-2.4780631578987595
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2132.569715789473;2129.815789473684;2130.128631578947;2128.5013684210553;2138.9301052631567;2134.3139999999967;2135.4296842105277;2123.9686315789486;2134.314421052628;2133.613578947366;2136.6809473684193;-2.7539263157887035;-2.441084210525787;-4.068347368417562;6.360389473683881;1.7442842105238014;2.859968421054873;-8.601084210524277;1.7447052631550832;1.0438631578931563;4.111231578946445
Sum;54153.82508421049;-29509.76228421048;-4280.235842105228;38958.88085263154;-4268.596263157932;-29478.435778947336;-4263.33691578944;-4251.781126315821;;;;;;;;;;;;;;;;;;;;;
qi;6769.228135526311;-3688.72028552631;-535.0294802631535;4869.860106578943;-533.5745328947415;-3684.804472368417;-532.91711447368;-531.4726407894776;;;;;;;;;;;;;;;;;;;;;
SSx;;1088532587.588264;22900523.58005281;1897242996.6119256;22776142.57230733;1086222719.966903;22720052.07191627;22597053.43261929;30072.84224069381;;;;;;;;;;;;;;;;;;;;
Variation;;0.26147653044243685;0.005500937242764804;0.45573694514687474;0.005471059667459245;0.2609216768916094;0.005457586162301693;0.005428040645870466;7.2238006829554615e-06;;;;;;;;;;;;;;;;;;;;
